Full Date,Prediction
2020-01-02,-1
2020-01-03,-1
2020-01-06,-3
2020-01-07,1
2020-01-09,1
2020-01-10,-1
2020-01-12,-1
2020-01-13,-2
2020-01-14,-3
2020-01-15,0
2020-01-16,-3
2020-01-17,-3
2020-01-20,0
2020-01-21,-3
2020-01-22,0
2020-01-23,0
2020-01-24,1
2020-01-25,-1
2020-01-27,-1
2020-01-28,0
2020-01-29,-1
2020-01-30,-2
2020-01-31,-2
2020-02-02,-1
2020-02-03,-1
2020-02-04,1
2020-02-05,-1
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,-1
2020-02-10,-2
2020-02-11,-3
2020-02-13,0
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-24,0
2020-02-27,0
2020-02-28,-2
2020-03-02,-1
2020-03-05,-3
2020-03-09,0
2020-03-11,1
2020-03-12,0
2020-03-13,-1
2020-03-16,1
2020-03-17,0
2020-03-20,-1
2020-03-22,0
2020-03-23,0
2020-03-26,1
2020-03-27,-1
2020-03-30,-2
2020-04-03,-3
2020-04-04,1
2020-04-05,1
2020-04-06,-1
2020-04-07,1
2020-04-08,-2
2020-04-09,-1
2020-04-10,-1
2020-04-20,-1
2020-04-22,0
2020-04-23,1
2020-04-24,-1
2020-04-25,-1
2020-04-27,1
2020-04-28,-1
2020-04-29,1
2020-04-30,-3
2020-05-01,-1
2020-05-04,-1
2020-05-05,1
2020-05-07,-2
2020-05-08,-1
2020-05-10,-1
2020-05-11,1
2020-05-12,-1
2020-05-13,-2
2020-05-17,-1
2020-05-18,-1
2020-05-19,-1
2020-05-21,1
2020-05-26,-2
2020-05-27,0
2020-05-29,-2
2020-06-01,-1
2020-06-02,-1
2020-06-04,-1
2020-06-08,-1
2020-06-09,-2
2020-06-10,-2
2020-06-11,-2
2020-06-12,1
2020-06-15,-1
2020-06-17,0
2020-06-24,-1
2020-06-25,-1
2020-06-26,-1
2020-06-29,-1
2020-06-30,-1
2020-07-02,0
2020-07-05,1
2020-07-06,-1
2020-07-08,-2
2020-07-10,0
2020-07-13,-2
2020-07-14,-2
2020-07-15,-1
2020-07-16,-4
2020-07-17,-2
2020-07-19,0
2020-07-20,-1
2020-07-21,-2
2020-07-22,-1
2020-07-23,-1
2020-07-24,1
2020-07-26,0
2020-07-27,-1
2020-07-28,-1
2020-07-29,-1
2020-08-01,-1
2020-08-03,1
2020-08-04,-1
2020-08-05,1
2020-08-10,-1
2020-08-13,-1
2020-08-17,-1
2020-08-18,1
2020-08-24,-3
2020-08-26,0
2020-08-30,-1
2020-09-02,-2
2020-09-03,-1
2020-09-08,-2
2020-09-09,-1
2020-09-11,1
2020-09-13,1
2020-09-15,-1
2020-09-16,-1
2020-09-21,1
2020-09-23,2
2020-09-24,-1
2020-09-25,-1
2020-09-28,0
2020-09-29,1
2020-09-30,-1
2020-10-01,-1
2020-10-02,1
2020-10-05,0
2020-10-06,-1
2020-10-07,0
2020-10-08,-1
2020-10-13,1
2020-10-15,-1
2020-10-16,-2
2020-10-19,0
2020-10-22,-3
2020-10-23,1
2020-10-26,-1
2020-10-27,-2
2020-11-03,-1
2020-11-04,1
2020-11-06,-1
2020-11-09,1
2020-11-10,-1
2020-11-11,1
2020-11-12,1
2020-11-16,-1
2020-11-17,0
2020-11-24,0
2020-11-27,-1
2020-11-29,-1
2020-11-30,0
2020-12-01,1
2020-12-03,-3
2020-12-08,0
2020-12-10,-1
2020-12-12,-1
2020-12-13,-1
2020-12-15,0
2020-12-18,0
2020-12-19,-1
2020-12-21,-2
2020-12-22,-2
2020-12-24,1
2020-12-27,1
2020-12-29,-1
2021-01-04,1
2021-01-05,-1
2021-01-07,-1
2021-01-08,-1
2021-01-10,-1
2021-01-11,-1
2021-01-13,-1
2021-01-15,0
2021-01-19,-2
2021-01-20,-3
2021-01-21,1
2021-01-25,-1
2021-01-26,-1
2021-01-28,-1
2021-02-02,1
2021-02-03,-1
2021-02-04,1
2021-02-05,-1
2021-02-09,0
2021-02-12,2
2021-02-17,1
2021-02-18,-1
2021-02-19,1
2021-02-21,1
2021-02-22,0
2021-02-23,-1
2021-02-24,0
2021-02-26,-1
2021-02-27,0
2021-03-01,-1
2021-03-03,-1
2021-03-05,-1
