Date,Prediction
2011-12-24,1
2017-12-13,1
2018-04-01,2
2020-03-16,1
2020-03-17,1
2020-03-18,4
2020-03-19,1
2020-03-21,2
2020-03-24,0
2020-03-26,0
2020-03-27,1
2020-03-30,1
2020-03-31,1
2020-04-02,1
2020-04-04,1
2020-04-05,1
2020-04-07,2
2020-04-08,3
2020-04-09,1
2020-04-10,0
2020-04-12,1
2020-04-13,1
2020-04-14,2
2020-04-15,0
2020-04-16,1
2020-04-19,0
2020-04-20,1
2020-04-22,4
2020-04-23,4
2020-04-24,1
2020-04-26,1
2020-04-27,2
2020-04-29,2
2020-04-30,6
2020-05-01,6
2020-05-02,0
2020-05-03,2
2020-05-04,0
2020-05-06,2
2020-05-09,1
2020-05-10,1
2020-05-13,4
2020-05-14,2
2020-05-15,2
2020-05-18,1
2020-05-19,1
2020-05-21,2
2020-05-22,1
2020-05-23,1
2020-05-24,1
2020-05-25,0
2020-05-27,4
2020-05-30,6
2020-05-31,1
2020-06-06,2
2020-06-07,0
2020-06-08,2
2020-06-09,1
2020-06-10,2
2020-06-13,1
2020-06-15,2
2020-06-16,1
2020-06-18,0
2020-06-19,1
2020-06-20,1
2020-06-21,2
2020-06-22,0
2020-06-25,4
2020-06-26,3
2020-06-28,1
2020-06-30,1
2020-07-01,1
2020-07-02,6
2020-07-04,3
2020-07-05,5
2020-07-06,0
2020-07-09,0
2020-07-10,2
2020-07-20,4
2020-07-21,0
2020-07-22,3
2020-07-23,2
2020-07-24,3
2020-07-25,2
2020-07-27,2
2020-07-30,4
2020-07-31,3
2020-08-01,3
2020-08-02,4
2020-08-03,1
2020-08-04,1
2020-08-05,1
2020-08-06,1
2020-08-11,2
2020-08-14,3
2020-08-15,2
2020-08-16,1
2020-08-17,2
2020-08-18,2
2020-08-19,2
2020-08-20,3
2020-08-21,1
2020-08-28,2
2020-08-29,0
2020-08-30,5
2020-08-31,1
2020-09-03,3
2020-09-07,0
2020-09-08,0
2020-09-09,3
2020-09-10,1
2020-09-11,0
2020-09-12,2
2020-09-15,1
2020-09-16,1
2020-09-22,1
2020-09-23,0
2020-09-24,1
2020-09-25,2
2020-09-26,4
2020-09-29,2
2020-10-04,1
2020-10-05,2
2020-10-06,3
2020-10-07,1
2020-10-14,1
2020-10-15,1
2020-10-16,1
2020-10-20,2
2020-10-21,1
2020-10-22,2
2020-10-24,1
2020-10-28,1
2020-10-29,1
2020-11-05,3
2020-11-06,2
2020-11-07,0
2020-11-08,0
2020-11-09,1
2020-11-11,0
2020-11-12,2
2020-11-13,2
2020-11-14,1
2020-11-15,3
2020-11-16,2
2020-11-17,2
2020-11-18,1
2020-11-19,1
2020-11-21,1
2020-11-22,0
2020-11-24,1
2020-11-25,1
2020-11-26,1
2020-12-02,1
2020-12-03,0
2020-12-04,1
2020-12-06,1
2020-12-07,3
2020-12-08,1
2020-12-09,3
2020-12-10,1
2020-12-11,0
2020-12-13,0
2020-12-19,2
2020-12-20,5
2020-12-21,1
2020-12-24,2
2020-12-25,1
2020-12-29,1
2020-12-30,0
2020-12-31,1
2021-01-02,2
2021-01-04,1
2021-01-07,2
2021-01-08,0
2021-01-12,2
2021-01-13,2
2021-01-14,1
2021-01-15,0
2021-01-18,1
2021-01-20,0
2021-01-21,0
2021-01-22,1
2021-01-23,1
2021-01-24,3
2021-01-26,1
2021-01-28,4
2021-01-29,1
2021-01-31,4
2021-02-01,2
2021-02-02,1
2021-02-04,3
2021-02-06,3
2021-02-07,1
2021-02-10,3
2021-02-11,2
2021-02-12,1
2021-02-13,1
2021-02-14,1
2021-02-15,0
2021-02-16,1
2021-02-17,0
2021-02-19,1
2021-02-20,1
2021-02-21,1
2021-02-23,0
2021-02-24,2
2021-02-27,1
2021-03-01,2
2021-03-02,1
2021-03-03,1
2021-03-06,2
2021-03-07,0
2021-03-08,0
