,Headlines,Day,Month,Date,Year,No. Comments,Author,Classification
0,"Morgan Stanley's math on Tesla teases out $3,000 per share",Mon,Feb,1,2021,312,SA News,neu
1,Tesla in line for big subsidy from Germany,Mon,Feb,1,2021,167,SA News,pos
2,Tesla gains after Piper says more fireworks are on the way,Mon,Feb,1,2021,113,SA News,pos
3,Ark Invest sees Tesla powering right through battery cell constraints,Mon,Feb,1,2021,74,SA News,pos
4,Coinbase Global announces plan to go public via direct listing just as Bitcoin's price soars,Fri,Jan,29,2021,71,SA News,neu
5,GM's electric push to set off sparks across the electric vehicle sector,Thu,Jan,28,2021,285,SA News,neu
6,Tesla investors bet on scale over margins,Thu,Jan,28,2021,103,SA News,pos
7,Megacap stocks also facing ‘perverse’ post-earnings action: At the Open,Thu,Jan,28,2021,27,SA News,neu
8,Tesla peels off 5% as investors balance sky-high expectations,Wed,Jan,27,2021,338,SA News,pos
9,Morgan Stanley dives into winners/losers in greener federal energy policies,Wed,Jan,27,2021,177,SA News,neu
10,"Tesla knocks out another profit, floats 50% deliveries growth target",Wed,Jan,27,2021,337,SA News,pos
11,"Tesla EPS misses by $0.25, beats on revenue",Wed,Jan,27,2021,329,SA News,neu
12,Tesla earnings on tap: Analysts highlight what to expect,Wed,Jan,27,2021,54,SA News,neu
13,'Gamestonk!!' - Musk joins the retail bros' battle against Citron,Wed,Jan,27,2021,230,SA News,neu
14,Tesla Q4 2020 Earnings Preview,Tue,Jan,26,2021,33,SA News,neu
15,European Union market for commercial vehicles declined 4.2% in December,Tue,Jan,26,2021,12,SA News,neg
16,"Tesla, BMW, Stellantis to receive electric vehicle battery aid in Europe",Tue,Jan,26,2021,45,SA News,pos
17,Analysts start gearing up for Tesla earnings day,Tue,Jan,26,2021,33,SA News,neu
18,Where are the driverless cars? Waymo CEO warns of 'extraordinary grind',Mon,Jan,25,2021,307,SA News,neu
19,Nasdaq futures climb 1% ahead of big week for tech earnings,Mon,Jan,25,2021,51,SA News,pos
20,Consumer recovery favorites like Carnival make a case for 2021 this week: Sector Watch,Sun,Jan,24,2021,9,SA News,neu
21,Job openings suggest Tesla Semi may be moving closer to production,Sun,Jan,24,2021,282,SA News,pos
22,Seeking Alpha Catalyst Watch,Fri,Jan,22,2021,53,SA News,neu
23,Nio named China's EV 'heir apparent' by Nomura; stock gets Buy rating,Fri,Jan,22,2021,132,SA News,neu
24,"Tesla, Crispr add most bang to ARK Innvoation ETF in Q4; Zoom, Compugen are biggest drags",Thu,Jan,21,2021,44,SA News,pos
25,Stocks expected to land in space ETFs include 'enabling' tech names,Thu,Jan,21,2021,95,SA News,neu
26,Tesla sees strong demand for Model Y vehicles in California,Thu,Jan,21,2021,74,SA News,pos
27,Short seller Jim Chanos says he changed his Tesla short into put position,Wed,Jan,20,2021,204,SA News,neu
28,Electric vehicle shocker: StoreDot develops battery that can be charged in five minutes,Wed,Jan,20,2021,543,SA News,neu
29,Tesla lands Street-high price target from Oppenheimer,Wed,Jan,20,2021,149,SA News,neu
30,A Biden presidency could make these stocks attractive picks: Kiplinger,Tue,Jan,19,2021,292,SA News,pos
31,Tesla Model Y deliveries in China have officially begun,Tue,Jan,19,2021,81,SA News,pos
32,Tesla is the only megacap with leverage heading into earnings: Alpha Tactics,Sat,Jan,16,2021,234,SA News,pos
33,Tesla forecast to deliver one million cars in 2022,Fri,Jan,15,2021,425,SA News,pos
34,Electric vehicle sector in focus as Democrat control in DC nears,Thu,Jan,14,2021,251,SA News,neu
35,Tesla's Model Y earns top scores from NHTSA,Wed,Jan,13,2021,194,SA News,pos
