,Headlines,Day,Month,Date,Year,No. Comments,Author
0,Tesla Is Losing Market Share In Every Major Car Market,Fri,Mar,05,2021,797,John Engle
1,Tesla: Solar Roof Narrative Is Still Full Of Holes,Wed,Mar,03,2021,362,John Engle
2,Warning Signs For Tesla And The Stock Market,Mon,Mar,01,2021,129,"Elazar Advisors, LLC"
3,"Stocks To Watch: AMD, Green Utility Names And Coinbase",Sat,Feb,27,2021,73,SA Stocks To Watch
4,The Tesla Bubble May Finally Be Bursting,Fri,Feb,26,2021,1270,Jonathan Weber
5,"Tesla: There Might Be Reason To Be Long, But Downside Risk From Overvaluation Persists",Wed,Feb,24,2021,150,BK Tan
6,Tesla Shares Are Breaking Down,Tue,Feb,23,2021,468,Bill Maurer
7,Tesla: The Price Of Success And Higher Expectations,Mon,Feb,22,2021,206,Fishtown Capital
8,Asia Set To Boost Tesla's Energy Storage Numbers,Mon,Feb,22,2021,368,Nick Cox
9,Tesla And India: An Interesting Marriage,Sun,Feb,21,2021,114,Damien Robbins
10,Tesla Energy: Time For A Reality Check On Battery Storage,Fri,Feb,19,2021,476,John Engle
11,5 Must-Read Lessons From Tesla's Historical Surge,Fri,Feb,19,2021,227,Robbe Delaet
12,Tesla: Current Valuation Isn't Unjustified,Thu,Feb,18,2021,303,Dalton Hicks
13,Tesla: Another Profitable Quarter Built On Regulatory Credit Sales,Wed,Feb,17,2021,405,John Engle
14,Tesla May Raise Capital Again,Wed,Feb,17,2021,164,Bill Maurer
15,"Game Over For ICE Vehicles Beginning In 2022 As EVs Will Start To Dominate, Led By Tesla",Fri,Feb,12,2021,2371,Matt Bohlsen
16,Tesla: Buying The Dip Is A Good Idea,Fri,Feb,12,2021,384,Jaulian Financial
17,How Tesla Options Can Hedge Against A Market Meltdown,Tue,Feb,09,2021,468,Atlas Research
18,Tesla's RoboTaxi Future Upside,Tue,Feb,09,2021,322,"Elazar Advisors, LLC"
19,Today's Tesla Share Price Fully Values 2025 Future,Fri,Feb,05,2021,308,Guy Hooper
20,Tesla's Batteries: From Asset To Liability,Fri,Feb,05,2021,516,Long Term Tips
21,Tesla: The Valuation Makes Zero Sense Even With Elon Musk's Hypothetical Justification,Fri,Feb,05,2021,381,Steven Fiorillo
22,NIO Vs. Tesla: Which Is The Better Investment Today,Fri,Feb,05,2021,159,ALT Perspective
23,Why Tesla Will Dominate Autonomous Driving,Thu,Feb,04,2021,1190,Simplify Asset Management
24,Tesla: A Concerning Overreliance On Regulatory Credits,Wed,Feb,03,2021,267,Long Term Tips
25,Tesla: On Its Way To Deliver 1 Million Cars In 2021,Tue,Feb,02,2021,441,Bears of Wall Street
26,Tesla: Q4 Results A Bit Soft,Thu,Jan,28,2021,458,Bill Maurer
27,An Incoming Tesla FSD Event,Tue,Jan,26,2021,482,Paulo Santos
28,Tesla 2021: Great Expectations And Inescapable Realities,Tue,Jan,26,2021,673,Montana Skeptic
29,Buy BYD: Largely Ignored Vs. Tesla's Meteoric Ascent,Mon,Jan,25,2021,348,Sunil Shah
30,Tesla: Q4 2020 Earnings Preview,Mon,Jan,25,2021,456,Bill Maurer
31,Growth Forecasts For Tesla's Chinese Demand Are Exuberantly Unrealistic,Thu,Jan,21,2021,903,Montana Skeptic
32,Why Tesla's Shares Are In A Bubble Right Now,Wed,Jan,20,2021,442,Jonathan Weber
33,Tesla: Shares Floating On Thin Air,Wed,Jan,20,2021,226,Gasebu Private Investor
34,Tesla: Trouble In Europe Is A Sign Of What's To Come,Wed,Jan,20,2021,316,Long Term Tips
35,Tesla: Elon Musk's Growth Aims Could Cost More Than $170 Billion,Tue,Jan,19,2021,186,John Engle
36,Increasing Competition In Europe Raises Questions About Tesla's Brandenburg Factory,Tue,Jan,19,2021,292,Jaberwock Research
37,Tesla's Valuation Overtakes Facebook: Does This Make Sense?,Tue,Jan,19,2021,381,Fishtown Capital
38,Tesla: Deep Dive On The Solar Segment,Fri,Jan,15,2021,117,ValueMan
39,Tesla And Its Energy Business: A Deteriorating Trend,Fri,Jan,15,2021,362,Bill Cunningham
40,Expect Positive Surprises For Tesla From Asia In 2021,Fri,Jan,15,2021,255,Nick Cox
41,The 3 Scenarios For Tesla's Value,Fri,Jan,15,2021,342,Dimitrios Koutsoubos
42,Tesla: The 2021 Growth Surge,Wed,Jan,13,2021,449,Bill Maurer
43,"In 2020, Tesla's Sales Fell 10% In Europe",Mon,Jan,11,2021,879,Anton Wahlman
44,Tesla: Weak Product Pipeline Threatens Growth Narrative,Sun,Jan,10,2021,494,John Engle
45,"Tesla: 3 Years After Its Public Unveiling, The Tesla Semi Is Still Stuck In Development",Fri,Jan,08,2021,452,John Engle
46,Tesla Bubble Continues To Inflate - Good Time To Sell,Thu,Jan,07,2021,1533,Matt Stewart
47,"Tesla, China, And Europe - A Tale Of Market Share",Tue,Jan,05,2021,396,Damien Robbins
48,"A Bubble-Blowing, Bull Market, Blow-Off Top Phase - Cody Willard Joins Alpha Trader (Podcast)",Tue,Jan,05,2021,44,Alpha Trader
49,Tesla Falls Short But Shares Surge,Mon,Jan,04,2021,365,Bill Maurer
50,"Tesla: Quietly, No FSD News Is Great News, More Bullish",Mon,Jan,04,2021,149,"Elazar Advisors, LLC"
51,Tesla: I See Downgrades Ahead,Tue,Dec,29, 2020,643,Invest To Retire
52,Not A Merry Christmas For Tesla In The Netherlands,Sun,Dec,27, 2020,770,Anton Wahlman
53,Apple Vs. Tesla: Self-Driving Car Showdown,Thu,Dec,24, 2020,372,Jonathan Weber
54,Tesla's Growth Is Not An Illusion: Its Strategic Strengths Indicate A Much Higher Valuation By 2025,Thu,Dec,24, 2020,386,Guy Hooper
