,Headlines,Day,Month,Date,Year,No. Comments,Author
0,"Tesla won't share data from its cars with U.S., Musk assures Chinese",Yesterday,10:,PM,2021,64,SA News
1,"ARK Invest fires off $3,000 price target on Tesla",Yesterday,1:2,PM,2021,598,SA News
2,"U.S. regulators are looking at nearly two dozen Tesla crashes, report says",Fri,Mar,19,2021,234,SA News
3,Tesla cars banned by Chinese military over camera concern,Fri,Mar,19,2021,166,SA News
4,Tesla priced out of new UK list for EV subsidies,Thu,Mar,18,2021,200,SA News
5,"Climate policy expert says subsidies for Tesla and other EV companies ""one of the worst ways to cut carbon emissions""",Wed,Mar,17,2021,869,SA News
6,Tesla's Autopilot lands in the spotlight again,Wed,Mar,17,2021,599,SA News
7,Volkswagen and Apple vs. Tesla called likely electric vehicle scenario,Tue,Mar,16,2021,299,SA News
8,Electric stuff from Volkswagen sends EV stocks higher,Mon,Mar,15,2021,175,SA News
9,Tesla management changes suggest added focus on trucks and Bitcoin,Mon,Mar,15,2021,126,SA News
10,Elon Musk becomes Technoking of Tesla,Mon,Mar,15,2021,192,SA News
11,Elon Musk and Tesla board sued for erratic tweets that hurt shares,Fri,Mar,12,2021,304,SA News
12,Tesla seen being a $3 trillion stock by 2030,Fri,Mar,12,2021,489,SA News
13,Tesla looks to advance electric vehicle plans in India,Fri,Mar,12,2021,72,SA News
14,"Tesla rallies after price hikes, Mizuho bull call",Thu,Mar,11,2021,151,SA News
15,Tesla expected to have battery cost advantage until 2030,Wed,Mar,10,2021,360,SA News
16,Hackers breach Verkada surveillance cameras at Tesla and others,Wed,Mar,10,2021,26,SA News
17,Tesla leads big day of recovery for electric vehicle stocks,Tue,Mar,09,2021,233,SA News
18,"Tesla rallies off strong China sales read, New Street upgrade",Tue,Mar,09,2021,211,SA News
19,"SpaceX wants to beam Starlink internet to big vehicles, not Teslas",Tue,Mar,09,2021,44,SA News
20,Tesla nabs market share in China from key rivals,Tue,Mar,09,2021,155,SA News
21,Tesla and CureVac developing a mRNA printer for personalized medicine,Mon,Mar,08,2021,156,SA News
22,House Democrats to push electric vehicle legislation,Mon,Mar,08,2021,417,SA News
23,Tesla aims to plug in gigantic battery to Texas grid,Mon,Mar,08,2021,276,SA News
24,"As Tesla plunges, what's behind the stock's recent moves?",Mon,Mar,08,2021,256,SA News
25,Electric vehicle stocks cool as legislation hopes warm,Sat,Mar,06,2021,356,SA News
26,Seeking Alpha Catalyst Watch,Fri,Mar,05,2021,22,SA News
27,Electric vehicle stocks sell off to put investors to the test,Fri,Mar,05,2021,363,SA News
28,Tesla secures supply of nickel,Fri,Mar,05,2021,218,SA News
29,Tesla halo fades with electric vehicle stocks falling sharply,Thu,Mar,04,2021,442,SA News
30,Electric vehicle stock sell-off called 'massive' buying opportunity,Thu,Mar,04,2021,461,SA News
31,Ron Baron says he sold some Tesla stock for clients,Thu,Mar,04,2021,55,SA News
32,Stock picks for the zero-emission commercial vehicle transition,Wed,Mar,03,2021,143,SA News
33,Chinese auto stocks expected to roll past near-term chip shortage issue,Tue,Mar,02,2021,56,SA News
34,"Watch earnings, not rates, Citi says: At the Open",Tue,Mar,02,2021,14,SA News
35,Tesla's strong ecosystem seen reducing risk of being 'Blackberried',Tue,Mar,02,2021,157,SA News
36,California city becomes first in U.S. to ban new gas stations,Tue,Mar,02,2021,1243,SA News
37,Tesla loses ground in European battery EV market,Mon,Mar,01,2021,520,SA News
38,Tesla shares now below high hit ahead of S&P entry; Musk tweets Fremont restarted,Thu,Feb,25,2021,263,SA News
39,Tesla lower as temporary Model 3 halt linked to chip shortage,Thu,Feb,25,2021,161,SA News
40,Tesla temporarily halts production at Model 3 line in California - Bloomberg,Thu,Feb,25,2021,278,SA News
41,ARK Invest buys more Tesla amid stumble in electric vehicle stocks,Tue,Feb,23,2021,305,SA News
42,"Tesla is in the hands of Reddit, Barclays says",Tue,Feb,23,2021,221,SA News
43,Auto sector jolted by intense selling in electric vehicle stocks,Tue,Feb,23,2021,141,SA News
44,Churchill Capital Corp. IV stock sinks following Lucid Motors deal (Update),Tue,Feb,23,2021,51,SA News
