"","Filed.Date","Net_Transaction","Abs_Transaction","Net_Transaction_Normalised","Abs_Transaction_Normalised"
"1",2020-01-05,-10000,30000,0.829190106540117,0.0237633206157085
"2",2020-02-04,-7500,22500,0.834428067087799,0.0175963688988291
"3",2020-02-18,71525,72445,1,0.058664156032101
"4",2020-02-23,-405760,1217260,0,1
"5",2020-02-24,-9670,29010,0.829881517332411,0.0229492829890804
"6",2020-03-08,7695,40495,0.866264391296605,0.032392941718195
"7",2020-04-14,-1000,3000,0.84804676451177,0.00156229443494277
"8",2020-05-03,-11375,34125,0.826309228238893,0.0271551440599921
"9",2020-05-07,-10000,30000,0.829190106540117,0.0237633206157085
"10",2020-05-12,-3500,10500,0.842808803964089,0.00772924615182213
"11",2020-05-18,0,1100,0.850141948730842,0
"12",2020-06-02,-43115,129345,0.759808081125533,0.105450763057492
"13",2020-06-08,4515,45075,0.859601705479954,0.036158893566636
"14",2020-06-11,-1000,3000,0.84804676451177,0.00156229443494277
"15",2020-07-05,-15000,45000,0.818714185444755,0.0360972240494672
"16",2020-07-13,-1000,3000,0.84804676451177,0.00156229443494277
"17",2020-07-21,-4085,12255,0.841583121195931,0.0091723128535719
"18",2020-07-28,-80000,240000,0.682527211205045,0.19643796868833
"19",2020-08-02,-130835,392505,0.576018521428497,0.321836764899355
"20",2020-08-03,-12500,37500,0.823952145992436,0.0299302723325878
"21",2020-08-04,-15000,45000,0.818714185444755,0.0360972240494672
"22",2020-08-11,-1000,3000,0.84804676451177,0.00156229443494277
"23",2020-09-01,-12500,37500,0.823952145992436,0.0299302723325878
"24",2020-09-02,5375,65375,0.861403563908357,0.0528507762136561
"25",2020-09-08,1759,33319,0.853827377772191,0.0264924023154848
"26",2020-09-13,-1000,3000,0.84804676451177,0.00156229443494277
"27",2020-10-04,-27500,82500,0.79252438270635,0.066931982633864
"28",2020-10-06,-3995,12205,0.841771687775648,0.00913119984212604
"29",2020-10-13,-1000,3000,0.84804676451177,0.00156229443494277
"30",2020-10-27,-207110,604330,0.416208345118745,0.496012037889751
"31",2020-10-28,-20000,60000,0.808238264349393,0.0484311274832259
"32",2020-11-02,-12500,37500,0.823952145992436,0.0299302723325878
"33",2020-11-11,-600,1800,0.848884838199399,0.000575582160242073
"34",2020-11-17,-43610,130830,0.758770964937092,0.106671819497435
"35",2020-12-01,-12500,37500,0.823952145992436,0.0299302723325878
"36",2020-12-07,4893,30941,0.860393685114764,0.0245370674911196
"37",2020-12-08,-43610,130830,0.758770964937092,0.106671819497435
"38",2020-12-14,-10000,30000,0.829190106540117,0.0237633206157085
"39",2020-12-18,-40000,40000,0.766334579967944,0.0319859229048809
"40",2020-12-30,-1000,3000,0.84804676451177,0.00156229443494277
"41",2021-01-05,-13885,41655,0.821050315849021,0.033346763583739
"42",2021-01-08,-4100,12300,0.841551693432645,0.00920931456387318
"43",2021-01-13,10000,10000,0.871093790921567,0.00731811603736351
"44",2021-01-14,-20000,20000,0.808238264349393,0.015540718326536
"45",2021-01-28,-1000,3000,0.84804676451177,0.00156229443494277
